
Timeout                                  :10
Think Time                               :4
Number of Requests                       :120
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.1
Round Robin Quantum Time                 :0.05
Interarrival Mean Time                   :1
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
0.82804				39.00000				Departure				1				Web Server				DBMS Server				
0.83134					109.00000				Departure				5				Client Station				Web Server				
0.83135				106.00000				Scheduling				5				Web Server				Web Server				
0.83135				24.00000				Departure				NA				Web Server				Client Station				
0.83135				119.00000				Departure				2				Web Server				DBMS Server				
0.83611					118.00000				Departure				5				Client Station				Web Server				
0.84220					84.00000				Departure				6				Client Station				Web Server				
0.84236				101.00000				Scheduling				6				Web Server				Web Server				
0.84236				6.00000				Departure				NA				Web Server				Client Station				
0.84236				55.00000				Scheduling				5				Web Server				Web Server				
0.84236				109.00000				Departure				3				Web Server				DBMS Server				
0.84296				39.00000				Arrival					5				DBMS Server				Web Server				
0.84296				119.00000				Arrival					5				DBMS Server				Web Server				
0.84296				109.00000				Arrival					5				DBMS Server				Web Server				
0.84455				46.00000				Departure				NA				Web Server				Client Station				
0.84455				106.00000				Scheduling				4				Web Server				Web Server				
0.84455				118.00000				Departure				NA				Web Server				Client Station				
0.84455				84.00000				Departure				NA				Web Server				Client Station				
0.84455				101.00000				Scheduling				2				Web Server				Web Server				
0.84712				40.00000				Arrival					2				DBMS Server				Web Server				
0.85272				37.00000				Arrival					2				DBMS Server				Web Server				
0.85399					92.00000				Departure				3				Client Station				Web Server				
0.85657				39.00000				Departure				0				Web Server				DBMS Server				
0.85953					22.00000				Departure				4				Client Station				Web Server				
0.86027				83.00000				Arrival					4				DBMS Server				Web Server				
0.86639					61.00000				Departure				5				Client Station				Web Server				
0.86693				39.00000				Arrival					5				DBMS Server				Web Server				
0.87077				39.00000				Departure				NA				Web Server				Client Station				
0.87077				106.00000				Scheduling				4				Web Server				Web Server				
0.87261				55.00000				Departure				0				Web Server				DBMS Server				
0.88405				101.00000				Departure				0				Web Server				DBMS Server				
0.89236				109.00000				Scheduling				4				Web Server				Web Server				
0.89236				119.00000				Scheduling				4				Web Server				Web Server				
0.89236				92.00000				Departure				NA				Web Server				Client Station				
0.89236				22.00000				Departure				NA				Web Server				Client Station				
0.89236				61.00000				Departure				0				Web Server				DBMS Server				
0.89236				106.00000				Scheduling				2				Web Server				Web Server				
0.89455				40.00000				Scheduling				2				Web Server				Web Server				
0.89455				37.00000				Scheduling				2				Web Server				Web Server				
0.89919				79.00000				Arrival					2				DBMS Server				Web Server				
0.90259					38.00000				Departure				3				Client Station				Web Server				
0.90657				83.00000				Scheduling				3				Web Server				Web Server				
0.90745				40.00000				Departure				NA				Web Server				Client Station				
0.90745				37.00000				Scheduling				2				Web Server				Web Server				
0.90745				38.00000				Departure				0				Web Server				DBMS Server				
0.90861					66.00000				Departure				3				Client Station				Web Server				
0.91291					14.00000				Departure				4				Client Station				Web Server				
0.91554				106.00000				Departure				1				Web Server				DBMS Server				
0.91967					31.00000				Departure				5				Client Station				Web Server				
0.92152				106.00000				Arrival					5				DBMS Server				Web Server				
0.93063				61.00000				Arrival					5				DBMS Server				Web Server				
0.93480				101.00000				Arrival					5				DBMS Server				Web Server				
0.93525				119.00000				Departure				0				Web Server				DBMS Server				
0.93888					53.00000				Departure				6				Client Station				Web Server				
0.94045				109.00000				Departure				NA				Web Server				Client Station				
0.94045				83.00000				Scheduling				5				Web Server				Web Server				
0.94433					3.00000				Departure				6				Client Station				Web Server				
0.94455				79.00000				Scheduling				6				Web Server				Web Server				
0.94455				66.00000				Departure				0				Web Server				DBMS Server				
0.94600					13.00000				Departure				7				Client Station				Web Server				
0.94958				55.00000				Arrival					7				DBMS Server				Web Server				
0.95468					44.00000				Departure				8				Client Station				Web Server				
0.95476					20.00000				Departure				9				Client Station				Web Server				
0.95526					8.00000				Departure				10				Client Station				Web Server				
0.96231					27.00000				Departure				11				Client Station				Web Server				
0.96554				61.00000				Scheduling				11				Web Server				Web Server				
0.96554				101.00000				Scheduling				11				Web Server				Web Server				
0.96554				106.00000				Scheduling				11				Web Server				Web Server				
0.96554				14.00000				Departure				0				Web Server				DBMS Server				
0.96554				31.00000				Departure				NA				Web Server				Client Station				
0.96554				53.00000				Departure				NA				Web Server				Client Station				
0.96554				83.00000				Scheduling				9				Web Server				Web Server				
0.96554				3.00000				Departure				1				Web Server				DBMS Server				
