
Timeout                                  :5
Think Time                               :4
Number of Requests                       :300
Number of User                           :10
DBMS Service Mean Time                   :1
Web Server Service Mean Time             :0.75
Round Robin Quantum Time                 :0.3
Interarrival Mean Time                   :0.05
Web Cores                                :8
Web Queue Size                           :100
Departure Probaility of web              :50
DBMS Cores                               :4
DBMS Queue Size                          :100
Probability Type                         :1
------------------------------------------------------------------------------------------------------------------------------------------------------
simTime				Request ID				Event_type				Queue Size				Server Type				Next station
0.02092					19.00000				Departure				12				Client Station				Web Server				
0.02162					7.00000				Departure				13				Client Station				Web Server				
0.02192					17.00000				Departure				14				Client Station				Web Server				
0.02310					37.00000				Departure				15				Client Station				Web Server				
0.02383					57.00000				Departure				16				Client Station				Web Server				
0.02405					25.00000				Departure				17				Client Station				Web Server				
0.02419					39.00000				Departure				18				Client Station				Web Server				
0.02528					21.00000				Departure				19				Client Station				Web Server				
0.02699					52.00000				Departure				20				Client Station				Web Server				
0.02742					46.00000				Departure				21				Client Station				Web Server				
0.02808					16.00000				Departure				22				Client Station				Web Server				
0.02906					29.00000				Departure				23				Client Station				Web Server				
0.02955					10.00000				Departure				24				Client Station				Web Server				
0.03102					48.00000				Departure				25				Client Station				Web Server				
0.03155					5.00000				Departure				26				Client Station				Web Server				
0.03164					50.00000				Departure				27				Client Station				Web Server				
0.03295					49.00000				Departure				28				Client Station				Web Server				
0.03365					32.00000				Departure				29				Client Station				Web Server				
0.03384					18.00000				Departure				30				Client Station				Web Server				
0.03444					8.00000				Departure				31				Client Station				Web Server				
0.03478					31.00000				Departure				32				Client Station				Web Server				
0.03487				33.00000				Departure				NA				Web Server				Client Station				
0.03487				27.00000				Departure				NA				Web Server				Client Station				
0.03487				20.00000				Departure				NA				Web Server				Client Station				
0.03487				3.00000				Departure				NA				Web Server				Client Station				
0.03487				12.00000				Departure				0				Web Server				DBMS Server				
0.03531					11.00000				Departure				29				Client Station				Web Server				
0.03550					55.00000				Departure				30				Client Station				Web Server				
0.03746					9.00000				Departure				31				Client Station				Web Server				
0.03825					56.00000				Departure				32				Client Station				Web Server				
0.03855					2.00000				Departure				33				Client Station				Web Server				
0.03884					28.00000				Departure				34				Client Station				Web Server				
0.03903					4.00000				Departure				35				Client Station				Web Server				
0.03956					59.00000				Departure				36				Client Station				Web Server				
0.04090					1.00000				Departure				37				Client Station				Web Server				
0.04228					51.00000				Departure				38				Client Station				Web Server				
0.04265					38.00000				Departure				39				Client Station				Web Server				
0.04333					53.00000				Departure				40				Client Station				Web Server				
0.04441					22.00000				Departure				41				Client Station				Web Server				
0.04521					54.00000				Departure				42				Client Station				Web Server				
0.04543					41.00000				Departure				43				Client Station				Web Server				
